employee_id,first_name,last_name,email,phone_number,manager_id,department,country_id
2,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES
3,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR
4,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK
5,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR
7,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR
8,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR
9,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB
11,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR
12,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US
13,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB
14,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES
16,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES
17,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR
18,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK
19,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR
21,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR
22,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR
23,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB
25,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR
26,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US
27,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB
28,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES
30,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES
31,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR
32,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK
33,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR
35,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR
36,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR
37,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB
39,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR
40,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US
41,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB
42,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES
44,Michel,BBB,michel.bbb@mycompany.es,81945947,1,HR,ES
45,Juliane,CCC,juliane.ccc@mycompany.br,87622749,1,Sales,BR
46,Patrice,DDD,patrice.ddd@mycompany.hk,13931578,1,HR,HK
47,Louis,EEE,louis.eee@mycompany.fr,68154273,1,Sales,FR
49,Ludivine,GGG,ludivine.ggg@mycompany.fr,63280299,6,IT,FR
50,Sophie,HHH,sophie.hhh@mycompany.br,66811818,6,IT,BR
51,Camille,III,camille.iii@mycompany.gb,24205021,6,Sales,GB
53,Thomas,KKK,thomas.kkk@mycompany.ar,20430282,9,Sales,AR
54,Eric,LLL,eric.lll@mycompany.us,86227391,9,HR,US
55,Thierry,MMM,thierry.mmm@mycompany.gb,93130273,9,Sales,GB
56,Nathalie,NNN,nathalie.nnn@mycompany.es,41576574,9,IT,ES
